"userName","getProfile.handle","payment"
"SabresFan","sabresfan_shl",0
"Dhoop","tehrealmeo",6e+05
"Thunder39","jaegerjones39",0
"vic03","vicd03",0
"Yagoyi","kikuchi2424",0
"a_cupof_bread","sixfootsiiiix",0
"Tesla","simulationtesla",6e+05
"Mr. Finland","antonmihailov88",0
"Bubba Tree","b0b_301",0
"BLBertrand","brady_bertrand",0
"MamaB","mrsmchits",150000
"Sergeantens","evert_jansson_",0
"pauadrian","robertoroode",0
"HabsFanFromOntario","iihf_shl",0
"Vik","drakocarr",0
"MoreliaSpilota","iihf_shl",0
"Motion","dankingshl",0
"Trempale","lenard_trempale",0
"JohnnyPatey","johnnypatey11",0
"Aurora","59azjha",0
"kingtag1999","kingitztimgsl",0
"McAl95","buckkeithley",6e+05
"ctots","bardownload",0
"The Roope Hintz Effect","rylieversishl",150000
"RAmenAmen","justintimeshl",450000
"BANACKOCK","mikaeljakobsen8",0
"ajwllmsn","ajwllmsn230",0
"joshuacorcorantwitch","iihf_shl",0
"Big Newff","newffshl",0
"advenny4","latvianwall",450000
"Punk42AE","jrfrankenstero",6e+05
"Weretarantula","richarddickbutt",0
"Shylo_Moxii","shylomoxiishl",0
"boom","sophiebords",2e+05
"Spicy Gecko","spicygecko01",0
"Samsung virtual assistant","disisdedayudie",150000
"NOLA","iihf_shl",0
"Gooney","tommywestbrook7",0
"adison","adisonbond",0
"blix900","llaraque7",0
"Ox Monkey","niaknows",0
"H0PPY75","hunterhavok21",0
"Cyclo","donjuanisreal",0
"jsteele14","dindjarins65",0
"Snussu","outdoortruck",0
"Gwdjohnson","rickykoivu40",0
"Good_Ole_Kimmy","jolmikoivushl",0
"the5urreal","the5urreal_sims",6e+05
"Tate","dusty8675309",0
"Valpix","stmartinshl",6e+05
"adamantium","bennyfiorentini",0
"gordieboom","gboomhover",6e+05
"LarryTheMVP","davidarturri",3e+05
"WildfireMicro","jackmcpisfl",450000
"fever95","ebouchard75shl",0
"TheGreatToeJam","egliemil",6e+05
"dogwoodmaple","dogwoodnetwork",0
"koty_k","koty_kpbe",0
"Waters","benwatersshl",0
"SpartanGibbles","gibblesshl",0
"Froste39","froste37",0
"tomtommen","tompedersen81",550000
"dmuda11","whalersgnrlmngr",0
"kast3rborous","ralphry77429627",2e+05
"ArmTheSharks","armthesharks",0
"EngynGameOver","dexterh27559284",0
"Ashes","tskalbergs",0
"ItsSwitchh","lucaspercyshl",0
"Zomp","lord_zomp",0
"Gage2","caspernilsson40",0
"Matty86","matthewmayhem6",0
"blakec1414","keziamackenzie",6e+05
"stein","realcobcorning",0
"JAC_","jacksoncanshl",0
"Wind Savon","louisperreault7",0
"JustAnotherHockeyFan","bohdanjarovsky",0
"HabsFanFromOntario","rand_shl",6e+05
"Andy","andyjac22324699",6e+05
"austin623","dickiepecker",3e+05
"TheHammer43","jacqueshammer43",450000
"erikvm","bobbymacshl",550000
"Marcul_le_depanneur","angrygilmore18",6e+05
"jumpSeat","jumpseat4",5e+05
"johjeff","vasyhockeyman",0
"juniped","svenpanda1",0
"Caleb_H","shl_caleb",6e+05
"Aneeqs","pbeschneider",6e+05
"jdinino","ninodigiuseppe7",4e+05
"Roobacca","roobaccashl",150000
